timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
364,104.83,757.76,506.74,391.07,544.04,542.59
365,163.73,818.84,496.82,382.32,499.41,538.91
366,179.92,842.47,487.7,376.52,482.4,528.62
367,184.69,817.35,478.22,370.31,482.69,515.98
368,190.53,856.2,470.31,370.65,513.35,508.72
369,201.92,851.24,472.7,371.12,583.53,509.46
370,206.07,855.07,484.79,374.55,556.78,513.36
371,203.61,866.01,491.48,379.61,600.54,512.44
372,204.32,872.0,493.35,385.08,621.17,499.29
373,194.17,788.93,491.74,386.29,660.45,503.41
374,199.35,649.41,492.96,391.66,689.85,503.96
375,190.68,610.7,485.49,396.87,688.67,509.82
376,190.98,596.48,480.96,396.38,685.84,521.56
377,184.34,579.1,475.4,399.46,678.95,522.74
378,181.23,555.5,469.57,388.95,677.61,515.51
379,174.67,549.41,475.79,379.32,670.26,511.46
380,153.67,584.42,478.9,381.06,662.91,511.95
381,136.08,566.26,473.79,378.89,657.86,512.25
382,113.04,554.87,476.06,375.9,652.26,513.06
383,85.54,592.08,482.74,370.83,653.18,520.34
384,63.54,586.1,491.03,373.41,663.75,533.6
385,64.51,652.73,495.75,375.5,668.11,537.27
386,64.28,747.13,490.59,379.83,667.53,541.76
387,94.1,734.09,486.88,388.18,687.93,537.52
388,95.01,700.36,482.83,383.3,690.79,536.22
389,124.77,693.0,470.26,376.8,636.56,524.21
390,141.97,747.02,454.53,375.03,625.58,515.8
391,175.73,794.22,448.89,372.51,654.87,502.92
392,178.76,827.74,445.96,367.94,659.35,501.12
393,190.45,846.15,450.73,368.98,694.42,501.99
394,195.08,819.27,463.43,368.57,734.71,507.77
395,195.88,809.59,468.27,363.32,719.5,505.07
396,186.74,813.98,458.85,363.14,713.47,487.3
397,179.57,734.92,448.9,362.53,703.53,498.75
398,175.1,615.6,452.69,363.73,709.59,504.03
399,156.22,547.89,459.31,366.53,725.23,511.25
400,148.31,500.39,462.92,362.79,725.93,517.7
401,141.11,500.05,462.0,367.43,741.39,522.91
402,138.57,509.73,460.02,354.96,733.9,512.34
403,108.84,533.26,463.72,338.14,732.96,512.28
404,100.31,602.08,465.33,338.73,723.38,514.12
405,99.61,596.46,469.29,341.36,714.56,513.04
406,102.69,598.79,477.66,344.2,715.45,515.73
407,67.06,601.98,484.79,345.33,724.24,535.05
408,53.43,640.33,485.6,352.46,723.86,549.41
409,52.41,661.83,489.06,354.0,728.24,551.77
410,70.07,697.87,491.5,348.65,723.75,550.51
411,97.38,685.8,489.35,361.24,733.29,546.04
412,98.68,701.56,474.36,362.14,732.93,535.17
413,119.48,699.7,466.04,357.75,745.76,511.0
414,122.88,701.64,460.35,351.98,753.16,503.11
